SKILL,SITUATION,TASK,ACTION,RESULT,SCORES,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Design communication

EXPERT

Gain support for design decisions and design strategy from senior leaders

Communicate design strategy across organisational boundaries

Coach others in how to effectively communicate design

Develop or introduce more effective methods of communicating design and working in the open",example text 1a,example text 1b,example text 1c,example text 1d,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Designing for everyone

EXPERT

Measurably improve the practice of inclusive, accessible and environmentally sustainable design in multiple teams or across your organisation

Help others understand and mitigate the influence of privilege and power on the design and delivery of content and services",example text 2a,example text 2b,example text 2c,example text 2d,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Designing strategically

PRACTITIONER

Help a team understand how user-centred design helps it meet its goals

Help teams align their work to the goals and vision of their organisation

Use risks, opportunities and constraints in technology, systems and policy to shape design

Identify and create new design patterns and components",example text 3a,example text 3b,example text 3c,example text 3d,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Designing together

EXPERT

Effectively plan and run design sessions that include senior leaders or stakeholders

Help teams connect and work across organisational boundaries

Coach other designers in how to involve stakeholders of any level in the design process

Develop or introduce more effective ways to design together",example text 4a,example text 4b,example text 4c,example text 4d,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Evidence-based design 

EXPERT

Embed a practice of hypothesis-driven design in a team

Guide the organisation in how to use evidence to improve services

Analyse, synthesise and use evidence to improve the way the organisation works

Ensure user insights are shared with and used by the wider organisation and across government",example text 5a,example text 5b,example text 5c,example text 5d,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iterative design

EXPERT

Embed the practice of iterative design and agile working in teams or wider organisation

Lead on prototyping complex ideas at any fidelity

Help teams adapt quickly to changes in requirements, priorities or user needs

iterate delivery processes or team structures to help teams work effectively",example text 6a,example text 6b,example text 6c,example text 6d,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leading design

PRACTITIONER

Lead and coordinate design work in a team

Advocate for user-centred design with leaders outside of digital and data

Create an inclusive, productive environment for designers to work in

Mentor and coach other designers

Iterate and improve design processes within your team",example text 7a,example text 7b,example text 7c,example text 7d,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
